id	likesCount	profilePictureurl	ownerusername	statements	postUrl	comments	timestamp	label
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzI1NzM1NjI4MTk0NzE3MTA=	1	https://scontent-mct1-1.xx.fbcdn.net/v/t1.6435-1/98268568_3581450538537325_403875535987408896_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=maWYMLR8o7wQ7kNvgFVhVzo&_nc_ht=scontent-mct1-1.xx&oh=00_AYABoSy6Ao3-md0Lowr8ofDeymrs-5Q4nxPo9qcXF-OJ9g&oe=668D6C4F	Lisa Ponessa	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	I’d love to see the same HELL befall every liberal politician who supported defund the police.	2024-02-20T21:32:06.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzM3MTE1NDYyMjUzMzg1NA==	1	https://scontent-mct1-1.xx.fbcdn.net/v/t39.30808-1/406232813_10230386525503554_1000239939970567913_n.jpg?stp=cp6_dst-jpg_p32x32&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=xOFHYhi4G3MQ7kNvgGOAIFW&_nc_ht=scontent-mct1-1.xx&oh=00_AYAUYjqrBWZj1_C-oYREz-36l4T2gwLWdrboYLt4B90QAw&oe=666BD43B	Paula Walter	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	Disgusting - politicians can’t have it both ways!!	2024-02-20T13:40:39.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzEzODQ1MTM1NDI0NTYyMTA=	1	https://scontent-mct1-1.xx.fbcdn.net/v/t1.6435-1/50621355_2322450514692091_3828833730860941312_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=raPxSOe03LUQ7kNvgEIDYVi&_nc_ht=scontent-mct1-1.xx&oh=00_AYAMrvvKcWPj3xxNmrq7pD38OMa51L_b3aTXWY2Az3HSew&oe=668D60CC	Jane Drazkowski	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	Emailed her.	2024-02-20T12:16:28.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0Xzc4MDc3ODY0MzkzODM4OQ==	1	https://scontent-mct1-1.xx.fbcdn.net/v/t39.30808-1/257655813_4526314854129457_8158932852870626102_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Oqq12-p2MAEQ7kNvgF3cEj7&_nc_ht=scontent-mct1-1.xx&oh=00_AYCUFoQjAagWWlx5ayxIS8yWOQZ1I58oCQT1AzK1Gn2Zgw&oe=666BF3CA	Paul Reding	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	Let’s flood Facebook with this!	2024-02-19T16:40:11.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzE1NzA3NzIyODM2ODMzODc=	0	https://scontent-mct1-1.xx.fbcdn.net/v/t1.6435-1/49664796_10215270190641499_1428439928613634048_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=I7ZkTQPoLQkQ7kNvgHGKYz_&_nc_ht=scontent-mct1-1.xx&oh=00_AYD0Ecyj6R9J1sieCj8r_E_HJYb3Spj3Q_uBmEBgslSD0g&oe=668D937F	Mary Thomas	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	Shameful	2024-02-19T16:04:22.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzM1NzI5MDQ2Mzc5MDYwMw==	4	https://scontent-mct1-1.xx.fbcdn.net/v/t39.30808-1/387035250_10231434042820737_7417322916792600836_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=L8xQAs0g82oQ7kNvgF0oP45&_nc_ht=scontent-mct1-1.xx&oh=00_AYDHUdd3SjQ743aFEPe1yda5hRhgaGEnj1RA7fWwqsM_lw&oe=666BD920	Tris Danielson	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	I had to shut the TV off when Walz was speaking yesterday. The hypocrisy makes my stomach churn.	2024-02-19T15:20:49.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzI1MTQ0MzkxNDY3NDE0MA==	0	https://scontent-mct1-1.xx.fbcdn.net/v/t39.30808-1/447644923_10233474681028048_550788676987598816_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QuLteG0kQ-wQ7kNvgHtZhTu&_nc_ht=scontent-mct1-1.xx&oh=00_AYB4eT7UBale3unHAzKPMKTSMya8CqcyCvGh3Q7r9HxiPQ&oe=666BD7E5	Bobbie Pomeroy	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	Amy Klobuchar, what do you have to say about this? How can you mourn for the families when you yourself wanted the very offices they hold defunded?	2024-02-19T15:15:52.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzIzNTQzNzcxOTQ3NTMyNzA=	2	https://scontent-mct1-1.xx.fbcdn.net/v/t39.30808-1/342894814_904641770593194_6934543178322447636_n.jpg?stp=cp6_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=s6v-kAa76PUQ7kNvgFXqcoi&_nc_ht=scontent-mct1-1.xx&oh=00_AYBiBataghI8n_EqCx1vl49ob1afAod5UMHOfHTnMLBsfQ&oe=666BE86C	Thomas Wilder	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	I’m sure there is a Pow Wow going on in the Governor’s office on how to control the narrative since it appears that the perpetrator doesn’t fit their narrative. Time will tell.	2024-02-19T14:59:53.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzcwMjYzNTAyNTQxMDc2Nw==	1	https://scontent-mct1-1.xx.fbcdn.net/v/t39.30808-1/342894814_904641770593194_6934543178322447636_n.jpg?stp=cp6_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=s6v-kAa76PUQ7kNvgFXqcoi&_nc_ht=scontent-mct1-1.xx&oh=00_AYBiBataghI8n_EqCx1vl49ob1afAod5UMHOfHTnMLBsfQ&oe=666BE86C	Thomas Wilder	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296	"Well lookee here 

As suspected.  The white lefties reaction to the George Floyd debacle directly affects this thugs actions yesterday. 

By showing such little respect and zero support for law enforcement it created an open season on law enforcement.  

These murders are on the heads of Walz, Ellison, Moriarity."	2024-02-19T14:57:55.000Z	fake
Y29tbWVudDozNzgyMjExNDA1MzgyNjU0XzEwNzA3MzgwNDA3MTIxODY=	0	https://scontent-mct1-1.xx.fbcdn.net/v/t39.30808-1/342894814_904641770593194_6934543178322447636_n.jpg?stp=cp6_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=s6v-kAa76PUQ7kNvgFXqcoi&_nc_ht=scontent-mct1-1.xx&oh=00_AYBiBataghI8n_EqCx1vl49ob1afAod5UMHOfHTnMLBsfQ&oe=666BE86C	Thomas Wilder	Amy’s page won’t let me post pictures, so I’m posting here…Klobuchar, Ellison and Flanagan…which is it Amy Klobuchar?????   You never let a tragedy go to waste.	https://www.facebook.com/permalink.php?story_fbid=pfbid02ZTsbKhi7uExQz5wXZyZif1HbrPVkmMconjsHiz76RireB2hijgGfXedf2ahBcoaCl&id=100007814959296		2024-02-19T14:56:03.000Z	fake
